cccd,sobaodanh,d_phuongthuc,TO,LI,HO,SI,SU,DI,VA,N1_THI,N1_CC,CNCN,CNNN,TI,KTPL,NL1,NK1,NK2,NK3,NK4,NK5,NK6
TS_12217,TS_12217,PT1,7.5,0,7.75,0,0,0,5.75,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
TS_12218,TS_12218,PT1,6.25,6.75,0,0,0,0,8,8.75,8.75,0,0,0,0,0,0,0,0,0,0,0
TS_12219,TS_12219,PT1,6.75,7.5,0,0,0,8.25,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12220,TS_12220,PT1,7.75,6.25,7,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12221,TS_12221,PT1,4.25,0,0,0,9,9.5,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12222,TS_12222,PT1,6,0,0,0,9.25,0,8.75,6,6,0,0,0,0,0,0,0,0,0,0,0
TS_12223,TS_12223,PT1,6.75,7.75,5,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12224,TS_12224,PT1,5.75,7.75,0,0,0,0,7.25,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_12225,TS_12225,PT1,4.25,0,0,0,0,0,8,3.75,3.75,0,0,0,5.85,0,0,0,0,0,0,0
TS_12226,TS_12226,PT1,4.25,0,0,0,8.75,8.25,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12227,TS_12227,PT1,7,0,0,0,6.5,0,6.25,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0
TS_12228,TS_12228,PT1,5.25,0,0,0,6.6,7.85,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12229,TS_12229,PT1,4.25,0,0,0,6.6,6.25,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12230,TS_12230,PT1,4.5,6.5,5.75,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12231,TS_12231,PT1,0,0,0,0,9.5,9.75,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
